Zipcode,Street,Unit,City,Lat,Long,Block Group
90012,281 S FIGUEROA ST,,Los Angeles,34.0554,-118.25452,060372075012001
90043,4528 S 3RD AVE,,Los Angeles,34.0018,-118.32017,060372345021006
90007,1317 W 30TH PL,,Los Angeles,34.02697,-118.29215,060372219002005
90027,2819 N GRIFFITH PARK BLVD,1/2,Los Angeles,34.10795,-118.27405,060371952011003
90027,2819 N GRIFFITH PARK BLVD,,Los Angeles,34.10795,-118.27405,060371952011003
90731,1110 S CABRILLO AVE,,Los Angeles,33.73392,-118.29442,060372969021003
90021,1475 S LONG BEACH AVE,,Los Angeles,34.02476,-118.24191,060372260022041
90025,12247 W SANTA MONICA BLVD,,Los Angeles,34.0398,-118.46554,060372674052002
90018,1405 W 35TH ST,,Los Angeles,34.02471,-118.30052,060372225001000
90019,1325 S STANLEY AVE,,Los Angeles,34.0516,-118.36075,060372169011002
90731,1112 S CABRILLO AVE,,Los Angeles,33.73386,-118.29442,060372969021003
90018,1409 W 35TH ST,,Los Angeles,34.02471,-118.30063,060372225001000
90035,1244 S HI POINT ST,,Los Angeles,34.05255,-118.36854,060372168003002
90032,4050 N JENNINGS DR,,Los Angeles,34.09222,-118.17302,060372011101000
90026,1746 N GLENDALE BLVD,1/2,Los Angeles,34.08707,-118.25943,060371974201002
90025,2146 S WESTWOOD BLVD,,Los Angeles,34.04467,-118.4322,060372672023008
90025,2162 S WESTWOOD BLVD,,Los Angeles,34.04446,-118.43194,060372672023008
90002,9535 S COMPTON AVE,,Los Angeles,33.94962,-118.2464,060372423001002
90034,3643 S HUGHES AVE,,Los Angeles,34.02653,-118.4016,060372699061000
90025,2156 S WESTWOOD BLVD,,Los Angeles,34.04455,-118.43202,060372672023008
90032,4054 N JENNINGS DR,,Los Angeles,34.09264,-118.17286,060372011101000
90025,2154 S WESTWOOD BLVD,,Los Angeles,34.04457,-118.43204,060372672023008
90002,9543 S COMPTON AVE,,Los Angeles,33.94957,-118.2464,060372423001002
90026,1740 N GLENDALE BLVD,,Los Angeles,34.08693,-118.25945,060371974201002
90025,2158 S WESTWOOD BLVD,,Los Angeles,34.04452,-118.432,060372672023008
90002,9533 S COMPTON AVE,,Los Angeles,33.9497,-118.24639,060372423001002
90026,1750 N GLENDALE BLVD,,Los Angeles,34.08713,-118.25942,060371974201002
90032,4052 N JENNINGS DR,,Los Angeles,34.09236,-118.17297,060372011101000
90025,2152 S WESTWOOD BLVD,,Los Angeles,34.04463,-118.43209,060372672023008
91342,13899 W POLK ST,,Los Angeles,34.31964,-118.43651,060371060101019
90025,2160 S WESTWOOD BLVD,,Los Angeles,34.04448,-118.43196,060372672023008
